article,energy,nr,level_0,index,alfa,beta,alfa_err,beta_err,LET,cells,dose,sf,x_err,sf_err_up,sf_err_down,sf_error,weight,alfa_fit,beta_fit,alfa_fit_err,beta_fit_err,residuals,residuals_limit,alfa_fit_org,beta_fit_org,covar_fit,diff_alfa,div_alfa,diff_beta,div_beta,alfa/beta,alfa(fit)/beta(fit),a(fit)/a_ref(fit),b(fit)/b_ref(fit),a/a_ref,b/b_ref,A,B,C,D
10,0,0,0,0,0.129,0.046,0.012,0.003,0.0,V79-753B,1.0294011352282144,0.831076780751758,1.0532498924554972,0.9054178422402772,0.8012218623121588,0.05209798996405923,19.19459849967088,0.11902654688291725,0.04934754826990684,0.016523726828743607,0.00451818915477422,0.08355299797340364,0.272999032749006,0.15804398020883847,0.039868286082640494,-7.241395232481939e-05,0.009973453117082753,1.0837918378569222,-0.0033475482699068387,0.9321638381790035,2.8043478260869565,2.4120052779907226,0.0,0.0,0.0,0.0,True,True,True,True
10,0,1,1,1,0.129,0.046,0.012,0.003,0.0,V79-753B,1.325453347222516,0.809356863555165,1.3453407624393137,0.8639473746902828,0.7491032056708832,0.05742208450969982,17.414902446306673,0.11902654688291725,0.04934754826990684,0.016523726828743607,0.00451818915477422,0.23096614082070274,0.272999032749006,0.15804398020883847,0.039868286082640494,-7.241395232481939e-05,0.009973453117082753,1.0837918378569222,-0.0033475482699068387,0.9321638381790035,2.8043478260869565,2.4120052779907226,0.0,0.0,0.0,0.0,True,True,True,True
10,0,2,2,2,0.129,0.046,0.012,0.003,0.0,V79-753B,1.60505112778758,0.7408049280762645,1.6378003564332086,0.791456003175581,0.6816027779565244,0.0549266126095283,18.206110890343286,0.11902654688291725,0.04934754826990684,0.016523726828743607,0.00451818915477422,0.12149302296639915,0.272999032749006,0.15804398020883847,0.039868286082640494,-7.241395232481939e-05,0.009973453117082753,1.0837918378569222,-0.0033475482699068387,0.9321638381790035,2.8043478260869565,2.4120052779907226,0.0,0.0,0.0,0.0,True,True,True,True
10,0,3,3,3,0.129,0.046,0.012,0.003,0.0,V79-753B,2.050702608473819,0.6415400786159915,2.0254829260298663,0.6161173473382878,0.6915771400035262,0.037729896332619195,26.504180959952837,0.11902654688291725,0.04934754826990684,0.016523726828743607,0.00451818915477422,0.0669020644285763,0.272999032749006,0.15804398020883847,0.039868286082640494,-7.241395232481939e-05,0.009973453117082753,1.0837918378569222,-0.0033475482699068387,0.9321638381790035,2.8043478260869565,2.4120052779907226,0.0,0.0,0.0,0.0,True,True,True,True
10,0,4,4,4,0.129,0.046,0.012,0.003,0.0,V79-753B,2.1649269754884237,0.59329848772408,2.1931294426122045,0.5528796957458638,0.6205651014996341,0.03384270287688512,29.548467320646814,0.11902654688291725,0.04934754826990684,0.016523726828743607,0.00451818915477422,0.2864870442376103,0.272999032749006,0.15804398020883847,0.039868286082640494,-7.241395232481939e-05,0.009973453117082753,1.0837918378569222,-0.0033475482699068387,0.9321638381790035,2.8043478260869565,2.4120052779907226,0.0,0.0,0.0,0.0,True,True,True,True
10,0,5,5,5,0.129,0.046,0.012,0.003,0.0,V79-753B,2.733412700099917,0.4778687805942936,2.74600036872401,0.5067878421442972,0.44545170209163726,0.030668070026329958,32.607203490192035,0.11902654688291725,0.04934754826990684,0.016523726828743607,0.00451818915477422,0.3439283041773778,0.272999032749006,0.15804398020883847,0.039868286082640494,-7.241395232481939e-05,0.009973453117082753,1.0837918378569222,-0.0033475482699068387,0.9321638381790035,2.8043478260869565,2.4120052779907226,0.0,0.0,0.0,0.0,True,True,True,True
10,0,6,6,6,0.129,0.046,0.012,0.003,0.0,V79-753B,3.345117880907331,0.3915477300658679,3.3103939201507666,0.41108887042937753,0.3713041533807962,0.019892358524290665,50.27055986241625,0.11902654688291725,0.04934754826990684,0.016523726828743607,0.00451818915477422,0.12476774790871559,0.272999032749006,0.15804398020883847,0.039868286082640494,-7.241395232481939e-05,0.009973453117082753,1.0837918378569222,-0.0033475482699068387,0.9321638381790035,2.8043478260869565,2.4120052779907226,0.0,0.0,0.0,0.0,True,True,True,True
10,0,7,7,7,0.129,0.046,0.012,0.003,0.0,V79-753B,3.8696188269308447,0.326123813738421,3.9068357334535104,0.3053013189914741,0.3497315112309143,0.022215096119720085,45.01443498650053,0.11902654688291725,0.04934754826990684,0.016523726828743607,0.00451818915477422,0.581724637773677,0.272999032749006,0.15804398020883847,0.039868286082640494,-7.241395232481939e-05,0.009973453117082753,1.0837918378569222,-0.0033475482699068387,0.9321638381790035,2.8043478260869565,2.4120052779907226,0.0,0.0,0.0,0.0,True,True,True,True
10,0,8,8,8,0.129,0.046,0.012,0.003,0.0,V79-753B,4.168817364314716,0.2578840978161862,4.147274515025503,0.27775837654982977,0.24747477728997355,0.015141799629928107,66.04234796658368,0.11902654688291725,0.04934754826990684,0.016523726828743607,0.00451818915477422,0.012405832343932137,0.272999032749006,0.15804398020883847,0.039868286082640494,-7.241395232481939e-05,0.009973453117082753,1.0837918378569222,-0.0033475482699068387,0.9321638381790035,2.8043478260869565,2.4120052779907226,0.0,0.0,0.0,0.0,True,True,True,True
10,0,9,9,9,0.129,0.046,0.012,0.003,0.0,V79-753B,4.441250876931907,0.2132853740175347,4.41038982321732,0.2061258084067893,0.23452474033480578,0.014199465964008243,70.42518377344092,0.11902654688291725,0.04934754826990684,0.016523726828743607,0.00451818915477422,0.3341594405969992,0.272999032749006,0.15804398020883847,0.039868286082640494,-7.241395232481939e-05,0.009973453117082753,1.0837918378569222,-0.0033475482699068387,0.9321638381790035,2.8043478260869565,2.4120052779907226,0.0,0.0,0.0,0.0,True,True,True,True
